province_name,province_id,owner_name_1763,owner_tag_1763,historical_justification_1763_with_source,current_owner_tag,status,confidence
Hohenmauth,17,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
Augustów,18,Poland,POL,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Poland (POL) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",POL,OWNED,high
Chieri,19,Sardinia,SAR,"Italy 1763 (pre-unification states + republics): province held by Sardinia (SAR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SAR,OWNED,high
Neuhaus,20,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
Al Marj,21,Tripoli,TRI,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Tripoli (TRI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",TRI,OWNED,high
Nurlat,22,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Arseniev,23,Manchuria,MNC,"East Asia 1763 (Qing empire + tributaries): province held by Manchuria (MNC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MNC,OWNED,high
Uvatsky,24,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Myitkyina,25,Lisu,LSU,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Lisu (LSU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",LSU,OWNED,high
Chilgir,26,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Saratov,27,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Huicheon,28,Korea,KOR,"East Asia 1763 (Qing empire + tributaries): province held by Korea (KOR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",KOR,OWNED,high
Brescia,29,Venice,VEN,"Italy 1763 (pre-unification states + republics): province held by Venice (VEN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",VEN,OWNED,high
Akyab,30,Burma,BUR,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Burma (BUR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BUR,OWNED,high
San Cristobal,31,Guatemala,GUA,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Guatemala (GUA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",GUA,OWNED,high
Kaghaznagar,32,Hyderabad,HYD,"South Asia 1763 (post-Mughal successors + EIC): province held by Hyderabad (HYD) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",HYD,OWNED,high
Valgrisanche,33,Sardinia,SAR,"Italy 1763 (pre-unification states + republics): province held by Sardinia (SAR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SAR,OWNED,high
Lumu,34,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Khoms,35,Tripoli,TRI,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Tripoli (TRI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",TRI,OWNED,high
Anahim Lake,36,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Shobara,37,Asano,ASN,"Japan 1763 (Tokugawa bakuhan domains): province held by Asano (ASN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ASN,OWNED,high
Ussuriisk,38,Manchuria,MNC,"East Asia 1763 (Qing empire + tributaries): province held by Manchuria (MNC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MNC,OWNED,high
Ziqiang,39,Heilongjiang,HLJ,"East Asia 1763 (Qing empire + tributaries): province held by Heilongjiang (HLJ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",HLJ,OWNED,high
Shwegyin,40,Burma,BUR,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Burma (BUR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BUR,OWNED,high
Poti,41,Mingrelia,MGL,"Caucasus 1763 (Ottoman/Persian frontier khanates + Georgia): province held by Mingrelia (MGL) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MGL,OWNED,high
Svetlogorsk,42,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Qiqihar,43,Heilongjiang,HLJ,"East Asia 1763 (Qing empire + tributaries): province held by Heilongjiang (HLJ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",HLJ,OWNED,high
Rumbek,44,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Puri,45,East India Company,EIC,"South Asia 1763 (post-Mughal successors + EIC): province held by East India Company (EIC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",EIC,OWNED,high
Thayne,46,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Santo Domingo,47,New Spain,NSP,"North America 1763 (post-Paris colonies + Native nations): province held by New Spain (NSP) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",NSP,OWNED,high
Port Pirie,48,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Rampurhat,49,Bengal,BNG,"South Asia 1763 (post-Mughal successors + EIC): province held by Bengal (BNG) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",BNG,OWNED,high
Wau,50,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Daba Mountains,51,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Tahtoyamsk,52,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Masudo,53,Iwami,IWM,"Japan 1763 (Tokugawa bakuhan domains): province held by Iwami (IWM) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",IWM,OWNED,high
the Outback,54,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Congolese Jungle,55,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Vorogovo,56,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Maiduguri,57,Bornu,KBO,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by Bornu (KBO) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",KBO,OWNED,high
Buchivacoa,58,Captaincy General Venezuela,CPV,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Captaincy General Venezuela (CPV) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",CPV,OWNED,high
Salt Lake City,59,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Port Lincoln,60,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Latehar,61,Ramgarh,RMH,"South Asia 1763 (post-Mughal successors + EIC): province held by Ramgarh (RMH) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",RMH,OWNED,high
Dabou,62,Baoulé,BAU,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by Baoulé (BAU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",BAU,OWNED,high
Chimbote,63,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Lar,64,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Sokol,65,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
La Guajira,66,Santa Fe De Bogota,SFB,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Santa Fe De Bogota (SFB) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",SFB,OWNED,high
Niamey,67,Dendi,DND,"West Africa 1763 (Asante/Oyo/Dahomey + Sahelian states): province held by Dendi (DND) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",DND,OWNED,high
Dessau,68,Anhalt,ANH,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Anhalt (ANH) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",ANH,OWNED,high
North Ayrshire,69,Great Britain,GBR,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Great Britain (GBR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",GBR,OWNED,high
Heligoland,70,Great Britain,GBR,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Great Britain (GBR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",GBR,OWNED,high
Czap,71,Hungary,HUN,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Hungary (HUN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",HUN,OWNED,high
Maryna Horka,72,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Sidama,73,Sidama,SDM,"East Africa 1763 (Ethiopia / Swahili coast / interlacustrine): province held by Sidama (SDM) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",SDM,OWNED,high
Prag,74,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
Minsk,75,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Dalhart,76,Comanche,CMC,"North America 1763 (post-Paris colonies + Native nations): province held by Comanche (CMC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/north_america_1763.md]",CMC,OWNED,high
Niuksenitsa,77,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Krasnoarmisk,78,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Halle,79,Prussia,PRU,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Prussia (PRU) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",PRU,OWNED,high
Ronda,80,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Dimitrovskyi,81,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Kintyre,82,Great Britain,GBR,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Great Britain (GBR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",GBR,OWNED,high
Die,83,France,FRA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by France (FRA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",FRA,OWNED,high
Jumilla,84,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Thann,85,France,FRA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by France (FRA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",FRA,OWNED,high
Biklyansk,86,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Luditz,87,Austria,AUS,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Austria (AUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",AUS,OWNED,high
Abu Nujaym,88,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Huntington,89,Great Britain (mod: USA — deferred),GBR,"HISTORICALLY GBR: in Feb 1763 the Thirteen Colonies are British (Treaty of Paris). The mod keeps them under USA as the load-bearing anchor of the AI-autonomous US sectional-crisis->Civil War arc (task #93, se_USA_SECTION.txt). FLAG-DEFERRED: correct owner GBR, left as USA by design. See global_province_audit.md 2026-07-20. Src: Calloway, The Scratch of a Pen (2006); Anderson, Crucible of War (2000).",USA,OWNED,high (owner GBR); FLAG-DEFERRED
Djizaks,90,Bukhara,BUK,"Central Asia 1763 (khanates / Qing frontier): province held by Bukhara (BUK) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",BUK,OWNED,high
Slavyanka,91,Manchuria,MNC,"East Asia 1763 (Qing empire + tributaries): province held by Manchuria (MNC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MNC,OWNED,high
Stowbsky,92,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Mawlamyaing,93,Burma,BUR,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Burma (BUR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BUR,OWNED,high
Ecija,94,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Chirovo,95,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Holin Gol,96,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Pyapon,97,Burma,BUR,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Burma (BUR) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",BUR,OWNED,high
Bandar-e Anzali,98,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Hellin,99,Spain,SPA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by Spain (SPA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",SPA,OWNED,high
Kracheh,100,Cambodia,CBI,"Mainland SE Asia 1763 (Burma/Siam/Vietnam/Khmer): province held by Cambodia (CBI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",CBI,OWNED,high
Verkhnie,101,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Nok Kundi,102,Kharan,KRN,"South Asia 1763 (post-Mughal successors + EIC): province held by Kharan (KRN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",KRN,OWNED,high
Zoige,103,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Ghandis,104,Tripoli,TRI,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Tripoli (TRI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",TRI,OWNED,high
Novobirilussi,105,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Gijduvon,106,Bukhara,BUK,"Central Asia 1763 (khanates / Qing frontier): province held by Bukhara (BUK) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",BUK,OWNED,high
Haishenwai,107,Manchuria,MNC,"East Asia 1763 (Qing empire + tributaries): province held by Manchuria (MNC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",MNC,OWNED,high
El Jufra,108,Tripoli,TRI,"N. Africa / Maghreb 1763 (Ottoman regencies + Morocco): province held by Tripoli (TRI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/oceania_sea_maghreb_1763.md]",TRI,OWNED,high
Poleove,109,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Kokand,110,Kokand,KOK,"Central Asia 1763 (khanates / Qing frontier): province held by Kokand (KOK) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",KOK,OWNED,high
Taleh,111,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Bortala,112,Yili,ILI,"East Asia 1763 (Qing empire + tributaries): province held by Yili (ILI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ILI,OWNED,high
Beifuyun,113,Yili,ILI,"East Asia 1763 (Qing empire + tributaries): province held by Yili (ILI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ILI,OWNED,high
Veraguas,114,Santa Fe De Bogota,SFB,"Latin America 1763 (Spanish viceroyalties / Portuguese Brazil): province held by Santa Fe De Bogota (SFB) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/latin_america_1763.md]",SFB,OWNED,high
Dunedin,115,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Zahedan,116,Balochistan,BLO,"Central Asia 1763 (khanates / Qing frontier): province held by Balochistan (BLO) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",BLO,OWNED,high
Ziliujing,117,China,CHI,"East Asia 1763 (Qing empire + tributaries): province held by China (CHI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",CHI,OWNED,high
Te_Anau,118,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Sahara Desert,119,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
Hargeisa,120,Isaaq,ISQ,"East Africa 1763 (Ethiopia / Swahili coast / interlacustrine): province held by Isaaq (ISQ) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",ISQ,OWNED,high
Karamay,121,Yili,ILI,"East Asia 1763 (Qing empire + tributaries): province held by Yili (ILI) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",ILI,OWNED,high
Pasvalys,122,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Eutin,123,Holstein,HOL,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Holstein (HOL) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",HOL,OWNED,high
Poim,124,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Rauma,125,Finland,FIN,"Scandinavia 1763 (Sweden/Denmark-Norway): province held by Finland (FIN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",FIN,OWNED,high
Chachersk,126,Lithuania,LIT,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Lithuania (LIT) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",LIT,OWNED,high
Forssa,127,Finland,FIN,"Scandinavia 1763 (Sweden/Denmark-Norway): province held by Finland (FIN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",FIN,OWNED,high
Cebrayil,128,Karabakh,KBH,"Caucasus 1763 (Ottoman/Persian frontier khanates + Georgia): province held by Karabakh (KBH) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/asia_middleeast_1763.md]",KBH,OWNED,high
Kursenai,129,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Montauban,130,France,FRA,"W. Europe 1763 state system (Treaty of Paris settlement): province held by France (FRA) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",FRA,OWNED,high
Vsykovsk,131,Russia,RUS,"E. Europe 1763 (Russia / Poland-Lithuania partition-era): province held by Russia (RUS) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",RUS,OWNED,high
Clanwilliam,132,Cape Colony,CPC,"Southern Africa 1763 (Cape + Bantu polities): province held by Cape Colony (CPC) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/africa_1763.md]",CPC,OWNED,high
Neusohl,133,Hungary,HUN,"Central Europe / HRE 1763 (abstracted per operator HRE rule): province held by Hungary (HUN) in 1763, consistent with the region's 1763 political map. [audit_worklists/research/europe_1763.md]",HUN,OWNED,high
Bariadi,134,(unowned — stateless / uncolonised),,No 1763 state controlled this province: stateless/uncolonised zone (culture/population only). See region report in audit_worklists/research/.,,UNOWNED,medium
